title,description,url,author,image,published,normalized_url,source_label,category
"The PlayStation 5 laptop is a 9.5 pound portable gaming monster, will set you back $2,750",Weighing in at a whopping 9.5 pounds for the laptop alone – plus an additional pound for the power brick – you could practically get a workout...,https://www.techspot.com/news/105966-playstation-5-laptop-95-pound-portable-gaming-monster.html,Zo Ahmed,https://www.techspot.com/images2/news/bigimage/2024/12/2024-12-15-image-4.jpg,2024-12-15 15:32:00 +0000,https://techspot.com/news/105966-playstation-5-laptop-95-pound-portable-gaming-monster.html,techspot.com,GAMING
Why the U.S. government is saying all citizens should use end-to-end encrypted messaging,"Think twice before sending your next text message. Or better yet, make sure you are using an end-to-end encryption method.

Consumers regularly use different types of messaging technology from the big...",https://www.cnbc.com/2024/12/15/why-the-fbi-wants-you-to-use-end-to-end-encrypted-messaging.html,Cheryl Winokur Munk,https://image.cnbcfm.com/api/v1/image/108075385-1734035784549-gettyimages-1920272611-20090101240112-99-587496.jpeg?v=1734035810&w=1920&h=1080,2024-12-15 14:30:02 +0000,https://cnbc.com/2024/12/15/why-the-fbi-wants-you-to-use-end-to-end-encrypted-messaging.html,cnbc.com,POLITICS
Intel Core Ultra 9 285K vs. Intel Core i9 14900K,"Intel's two latest flagships, the Core Ultra 9 285K and Core i9 14900K go head-to-head in 45 games to see how their performance stacks up. Can the...",https://www.techspot.com/review/2934-intel-core-ultra-285k-vs-intel-core-14900k/,Steven Walton,https://www.techspot.com/articles-info/2934/images/2024-12-13-image.jpg,2024-12-15 12:49:00 +0000,https://techspot.com/review/2934-intel-core-ultra-285k-vs-intel-core-14900k/,techspot.com,TECH
"Limited-time offer: M4 Pro Mac mini for $1,349 with free next day shipping","The in-demand M4 Pro Mac mini is on sale at Apple resellers, with B&H discounting it to $1,349 with free next-day shipping for holiday gift-giving.",https://appleinsider.com/articles/24/12/15/pick-up-apples-m4-pro-mac-mini-for-1349-with-free-next-day-shipping,Christine McKee,https://photos5.appleinsider.com/gallery/62052-128534-m4-pro-mac-mini-deal-3-xl.jpg,2024-12-15 10:05:01 +0000,https://appleinsider.com/articles/24/12/15/pick-up-apples-m4-pro-mac-mini-for-1349-with-free-next-day-shipping,appleinsider.com,TECH
"The White Helmets, UNHCR, UNRWA, and other volunteer organizations describe how apps like WhatsApp have transformed communication in conflict and disaster zones (John Beck/Rest of World)","— It was a week of frenzied activity, as Silicon Valley billionaires and their companies brandished checks and compliments for the President-elect....",https://www.techmeme.com/241215/p8,techmeme,https://149346090.v2.pressablecdn.com/wp-content/uploads/2024/12/RoW_WhatsApp_SOS_FeaturedImage-1600x900.jpg,2024-12-15 09:20:08 +0000,https://techmeme.com/241215/p8,techmeme.com,TECH
Die besten Gaming-Geschenke 2024: Fröhliches Zocken überall!,Videospiele und Gaming-Hardware lassen nicht nur Kinderaugen leuchten. COMPUTER BILD zeigt die Test-Highlights der Redaktion zum Fest!,https://www.computerbild.de/artikel/cbs-News-Spiele-Gaming-Geschenke-2024-Weihnachten-Videospiele-Kaufberatung-39233257.html,@computerbild,https://i.computer-bild.de/imgs/1/5/4/9/9/5/4/1/Gaming-Geschenke-zum-Weihnachtsfest-3567-2048x1152-d9ccc3daf2d2dec2.jpg,2024-12-15 09:00:00 +0000,https://computerbild.de/artikel/cbs-News-Spiele-Gaming-Geschenke-2024-Weihnachten-Videospiele-Kaufberatung-39233257.html,computerbild.de,GAMING
Der neue Samsung S90D erweist sich im Fernseher-Test als Geheimtipp,Der OLED-TV Samsung S90D kostet etwa das gleiche wie sein QLED-Bruder QN90D. Wo liegen die Unterschiede? Unser Test liefert die Antworten.,https://www.computerbild.de/artikel/avf-Tests-Fernseher-Samsung-S90D-GQ55S90DAT-review-39237169.html,@computerbild,https://i.computer-bild.de/imgs/1/5/5/0/0/5/9/5/Samsung-S90D-im-Test--Farbwiedergabe-und-Schattendurchzeichnung-sind-3567-3878x2181-348532fdc60bd7b7.jpg,2024-12-15 08:42:00 +0000,https://computerbild.de/artikel/avf-Tests-Fernseher-Samsung-S90D-GQ55S90DAT-review-39237169.html,computerbild.de,TECH
Nur noch heute bei der ING: Top Tagesgeld-Zinsen sichern,Attraktive Tagesgeld-Zinsen? Die gibt es heute noch bei der ING. Alles zum top Tagesgeld-Angebot der Direktbank.,https://www.computerbild.de/artikel/ING-Tagesgeld-Angebot-Zinsen-39124689.html,@computerbild,https://i.computer-bild.de/imgs/1/5/4/7/1/2/2/3/ING-Logo-auf-Hausdach-3567-1010x568.jpg-7f73f716b0bb599c.webp,2024-12-15 08:16:00 +0000,https://computerbild.de/artikel/ING-Tagesgeld-Angebot-Zinsen-39124689.html,computerbild.de,TECH
‘Trump has been explicit about revenge’: Asif Kapadia on his new film about the threat to democracy,The man behind Amy and Senna has turned his attention to ‘techno-authoritarianism’ in the genre-defying 2073. He talks to our journalist – one of the movie’s unlikely stars – about the events that fed his dystopian vision,https://www.theguardian.com/film/2024/dec/15/asif-kapadia-2073-amy-winehouse-senna-maradona-trump,Carole Cadwalladr,https://i.guim.co.uk/img/media/d9d7145b421290703a7f763d15874457832b5d37/0_1623_6192_3715/master/6192.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&s=9a91c84837d985229bd9e99ef73df458,2024-12-15 08:00:40 +0000,https://theguardian.com/film/2024/dec/15/asif-kapadia-2073-amy-winehouse-senna-maradona-trump,theguardian.com,LIFESTYLE
Saubere Weihnachten: Vier empfehlenswerte Saug-Wisch-Roboter zum Fest,Smart saugen (lassen)! Diese cleveren Putzhilfen kümmern sich um die Bodenpflege. Hier kommen vier empfehlenswerte Saugroboter.,https://www.computerbild.de/artikel/cb-Tests-Smart-Home-Saug-Wisch-Roboter-Geschenk-Tipps-Tests-Kaufberatung-Weihnachten-37189009.html,@computerbild,https://i.computer-bild.de/imgs/1/5/1/2/2/7/1/5/Weihnachtskaufberatung--Smart-putzen-3567-2048x1152-1c393d94bb4056c1.jpg,2024-12-15 08:00:00 +0000,https://computerbild.de/artikel/cb-Tests-Smart-Home-Saug-Wisch-Roboter-Geschenk-Tipps-Tests-Kaufberatung-Weihnachten-37189009.html,computerbild.de,TECH
